stage,task_type,run_id,model_id,seed,fraction_code,status,elapsed_seconds,artifact_sha256,source_commit
week6,downstream_curve,week6-m3-f50-seed43,M3,43,50,success,290.3661025,823a1f6f65dae5a5388e2463e870fa16f436168ec3687c6535f747743a57412b,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f05-seed17,M4,17,05,success,143.9559807,b86a18460972f7de2d9b9e61f9469e2364fac5f2657f4ac738cfc4691370c158,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f05-seed29,M4,29,05,success,127.1691053,b9ac9d8f9466ce6174c9e5e6147acdac4ca5e9f3d960154aad9e479abfadc314,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f05-seed43,M4,43,05,success,128.3041594,926ddbbe4b007eae4d2d2b5c9f3166c8381bcf8fa6981f671979ef66d3aeddca,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f25-seed17,M4,17,25,success,217.4942184,cb5ca3d7ba0dd809513acca803ce357fa65868b06d33306add465b19d66943af,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f25-seed29,M4,29,25,success,191.6577867,5f89fd3e9c98ca7a2de66495b25a7e54b6fdbcfcb81d0fbc11a5a6ca8b861166,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f25-seed43,M4,43,25,success,195.6880353,bc4705fcdf7ed04ed2d8b81ffb1d35ad833b611813c020fab11bf68e81d6a287,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f50-seed17,M4,17,50,success,327.7336012,bb87b61c3045206c8ce1f8036ad74eeb3e3ef1b6d6732c5fc88f90c77067f7c1,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f50-seed29,M4,29,50,success,285.4160039,ff191d6fb15e076672e3bf74abf9a27543fb956f0854dc8f8746447193880630,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week6,downstream_curve,week6-m4-f50-seed43,M4,43,50,success,289.4775844,356dd949419d42f00f1d9bc6ea195e0c98275391090c1ccdfa503f74edcbe282,290ce812a5f2545e5e49c18a4195bc9a05bc294a
week7,foundation_finetune,week7-m5-f01-seed17,M5,17,01,success,112.9820834,a0c8951b9c06a4d91f9e80b65b63b43f479aebe343e34e17a42e909bb08fbc56,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f01-seed29,M5,29,01,success,113.7960089,9ac910c61051e4f1b29f1ccfcfd4f94d156c4fc6cda15b3340b7a078cfa25ce9,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f01-seed43,M5,43,01,success,116.6703962,7eafa1edad6cedd7e460f28fcff3e06be576c1afb18007ce397eac53df161d9c,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f10-seed17,M5,17,10,success,140.1432809,cf7b0717fb5d62a8a0f24bdbafedb20739f4b11b9bd1f0a27e52fa193b0805b1,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
week7,foundation_finetune,week7-m5-f10-seed29,M5,29,10,success,142.5849393,914b0fec7c1ee2c5fccfc44a142dfba1c101a8e2a3b21c684dd9c20917c995c4,4ac9af3644ce6dfe119fb0cb413151e6e20c58c7
