run_id,model_id,fraction_code,seed,domain,class_index,class_name,positive_count,negative_count,average_precision,recall_at_0_5,recall_at_source_v_threshold,f1_at_0_5,f1_at_source_v_threshold,ece_15bin,in_c_source
week5-m0-f01-seed17,M0,01,17,Portugal,3,Broad-leaved forest,1588,2412,0.4553733655522111,0.9326196473551638,0.9017632241813602,0.6185007308415118,0.6107912134783536,0.2616145211909409,True
week5-m0-f01-seed17,M0,01,17,Portugal,4,Coastal wetlands,45,3955,0.008712062071146824,0.0,0.0,0.0,0.0,4.0519571122242526e-05,False
week5-m0-f01-seed17,M0,01,17,Portugal,5,Complex cultivation patterns,816,3184,0.26923317785887707,0.07352941176470588,0.025735294117647058,0.11892963330029732,0.046511627906976744,0.0854203783739169,True
week5-m0-f01-seed17,M0,01,17,Portugal,6,Coniferous forest,385,3615,0.1426377225760001,0.13506493506493505,0.12727272727272726,0.13829787234042554,0.13725490196078433,0.09769963383381522,True
week5-m0-f01-seed17,M0,01,17,Portugal,7,Industrial or commercial units,95,3905,0.16904940859234782,0.6105263157894737,0.5789473684210527,0.1518324607329843,0.16923076923076924,0.2494090972881564,True
week5-m0-f01-seed17,M0,01,17,Portugal,8,Inland waters,206,3794,0.09414822089312545,0.07281553398058252,0.05339805825242718,0.09966777408637874,0.08208955223880597,0.08429209300354724,True
week5-m0-f01-seed17,M0,01,17,Portugal,9,Inland wetlands,4,3996,0.002199704830193167,0.0,0.0,0.0,0.0,0.11609565536730343,True
week5-m0-f01-seed17,M0,01,17,Portugal,10,"Land principally occupied by agriculture, with significant areas of natural vegetation",763,3237,0.1951666431906052,0.2346002621231979,0.17169069462647443,0.20225988700564973,0.16634920634920636,0.1917590063843254,True
week5-m0-f01-seed17,M0,01,17,Portugal,11,Marine waters,498,3502,0.9029455063760383,0.9176706827309237,0.9156626506024096,0.5492788461538461,0.5703564727954972,0.22773021358033246,True
week5-m0-f01-seed17,M0,01,17,Portugal,12,Mixed forest,587,3413,0.2246125911860934,0.3219761499148211,0.23509369676320271,0.2852830188679245,0.24,0.1599110423735444,True
week5-m0-f01-seed17,M0,01,17,Portugal,13,"Moors, heathland and sclerophyllous vegetation",507,3493,0.1329590922223742,0.0,0.0,0.0,0.0,0.0908681989849507,True
week5-m0-f01-seed17,M0,01,17,Portugal,14,Natural grassland and sparsely vegetated areas,50,3950,0.011676233673173726,0.0,0.0,0.0,0.0,0.0473567046587204,True
