hypothesis,left_model,right_model,fraction_code,domain,grouping,observed_paired_difference,bootstrap_mean,percentile_2_5,percentile_97_5,replicates,p_value
H3,M4,M3,01,OOD,MGRS,-0.0016444888393622875,0.002028473331930791,-0.01028315269455665,0.017034946718965265,1000,
H3,M4,M3,01,I,12km-block,0.011164926548535051,0.010990183833153562,0.0008102959172287932,0.021138657599555757,1000,
H3,M4,M3,01,Finland,12km-block,-0.004859228101555313,0.0033228773518066117,-0.009229799693320329,0.021287336942590333,1000,
H3,M4,M3,01,Portugal,12km-block,0.001570250422830738,0.0016526675402664549,-0.002918656648604316,0.006405156690274549,1000,
H3,M4,M3,01,OOD,12km-block,-0.0016444888393622875,0.0024877724460365333,-0.004678081462901513,0.012083420967193309,1000,
H3,M4,M3,05,I,MGRS,0.006540771295205435,0.0064421771242410405,-0.002393762497864277,0.017730652454083166,1000,
H3,M4,M3,05,Finland,MGRS,0.001961216216525452,0.002650759001287842,-0.006994055603315596,0.012382489351196499,1000,
H3,M4,M3,05,Portugal,MGRS,-0.001653420685268599,6.711018905397454e-05,-0.004380174088116362,0.014960174303084097,1000,
H3,M4,M3,05,OOD,MGRS,0.00015389776562842647,0.0013589345951709082,-0.004609482628001633,0.008407203523156838,1000,
H3,M4,M3,05,I,12km-block,0.006540771295205435,0.006213027663089052,-0.0013604674405787677,0.015279325782728217,1000,
H3,M4,M3,05,Finland,12km-block,0.001961216216525452,0.0016778420757677728,-0.006366262880282547,0.01434888853858832,1000,
H3,M4,M3,05,Portugal,12km-block,-0.001653420685268599,-0.0008827635791012954,-0.006852490344013038,0.008506148628077196,1000,
H3,M4,M3,05,OOD,12km-block,0.00015389776562842647,0.0003975392483332386,-0.00504568749061911,0.008238965196665528,1000,
H3,M4,M3,10,I,MGRS,0.0020681297810808408,0.003472255572497846,-0.0059656982836861425,0.013356261069823187,1000,
H3,M4,M3,10,Finland,MGRS,-0.01267223266095537,-0.012888412540742583,-0.029447870322312927,0.0021612019667689294,1000,
H3,M4,M3,10,Portugal,MGRS,0.0006626381479176158,1.3277328191650316e-05,-0.009533126404902096,0.004135598637396727,1000,
H3,M4,M3,10,OOD,MGRS,-0.006004797256518877,-0.0064375676062754655,-0.015576454652415578,0.0016833984983183102,1000,
H3,M4,M3,10,I,12km-block,0.0020681297810808408,0.002102930654025607,-0.003709723186489893,0.007871401213071519,1000,
H3,M4,M3,10,Finland,12km-block,-0.01267223266095537,-0.013234454030701864,-0.01900591145719024,-0.007537165624781582,1000,
H3,M4,M3,10,Portugal,12km-block,0.0006626381479176158,0.0012328691265232363,-0.0037371920348053724,0.007108312757467847,1000,
H3,M4,M3,10,OOD,12km-block,-0.006004797256518877,-0.006000792452089314,-0.010148167063229768,-0.0018489770875036822,1000,
H3,M4,M3,25,I,MGRS,0.0007530689794627935,0.0005366288371781082,-0.006490015180505834,0.00939582142064598,1000,
H3,M4,M3,25,Finland,MGRS,-0.01646980649994108,-0.012510032845666258,-0.03488341236646842,0.01183655312909783,1000,
H3,M4,M3,25,Portugal,MGRS,-0.01041903939010134,-0.011509196211402438,-0.021438572352414382,-0.007225966739674332,1000,
H3,M4,M3,25,OOD,MGRS,-0.013444422945021212,-0.01200961452853435,-0.023579732111688963,0.00037959639331613184,1000,
H3,M4,M3,25,I,12km-block,0.0007530689794627935,0.0007034316724336113,-0.004558359171122854,0.0062086862334915895,1000,
H3,M4,M3,25,Finland,12km-block,-0.01646980649994108,-0.015827231956475812,-0.033684717612574716,-0.0016445365370359307,1000,
H3,M4,M3,25,Portugal,12km-block,-0.01041903939010134,-0.010550877667988935,-0.015192336589950027,-0.005986052509397911,1000,
H3,M4,M3,25,OOD,12km-block,-0.013444422945021212,-0.013189054812232376,-0.02216314015594384,-0.005501712599192622,1000,
H3,M4,M3,50,I,MGRS,-0.0026849927290751863,-0.0016943571663022414,-0.010034280896420032,0.00898706782937933,1000,
H3,M4,M3,50,Finland,MGRS,-0.002965214733263055,-0.0028536663401165364,-0.014498580122798687,0.009075147258735693,1000,
H3,M4,M3,50,Portugal,MGRS,0.00016985202185136142,-0.0005309416530681765,-0.013210140705397222,0.007402926904127934,1000,
H3,M4,M3,50,OOD,MGRS,-0.001397681355705847,-0.001692303996592356,-0.008892755683828045,0.005013948204398012,1000,
H3,M4,M3,50,I,12km-block,-0.0026849927290751863,-0.002669387183616239,-0.009599877520932215,0.0041747771116172104,1000,
H3,M4,M3,50,Finland,12km-block,-0.002965214733263055,-0.0027843036769017206,-0.009564192072278488,0.00339086515746118,1000,
H3,M4,M3,50,Portugal,12km-block,0.00016985202185136142,0.0002682084962125101,-0.004235917464549661,0.004524038583827422,1000,
H3,M4,M3,50,OOD,12km-block,-0.001397681355705847,-0.0012580475903446052,-0.005281256896196187,0.00262109066876462,1000,
H3,M4,M3,100,I,MGRS,-0.007601594220192465,-0.007575814289948379,-0.01600385493879325,-0.00030405217774267574,1000,
H3,M4,M3,100,Finland,MGRS,-0.0036473999641803236,-0.004780202299749623,-0.016499207030099664,0.007396370378275136,1000,
H3,M4,M3,100,Portugal,MGRS,-0.0030577616785717834,-0.0027924139863663975,-0.008975350469199098,0.002856630740054119,1000,
H3,M4,M3,100,OOD,MGRS,-0.0033525808213760535,-0.00378630814305801,-0.010084788403818826,0.002411461689313912,1000,
H3,M4,M3,100,I,12km-block,-0.007601594220192465,-0.007246911117443902,-0.012461050633427938,-0.0018472224107949201,1000,
H3,M4,M3,100,Finland,12km-block,-0.0036473999641803236,-0.0038443992712264598,-0.00997779149142469,0.0020832036750684287,1000,
H3,M4,M3,100,Portugal,12km-block,-0.0030577616785717834,-0.0030661846809041907,-0.00681049347450563,0.0007939420693994291,1000,
H3,M4,M3,100,OOD,12km-block,-0.0033525808213760535,-0.0034552919760653254,-0.007024181890241301,1.9692243202598736e-05,1000,
