run_id,model_id,fraction_code,seed,domain,sample_count,supported_map,all_class_map,macro_f1_at_0_5,micro_f1_at_0_5,macro_f1_at_source_v_threshold,micro_f1_at_source_v_threshold,source_v_threshold,binary_brier_score,macro_classwise_ece_15bin,mgrs_group_count,block_12km_count,country_count,quarter_count
week7-m5-f100-seed17,M5,100,17,I,3000,0.630349000566158,0.5742860832297896,0.46552406201063257,0.6755807671528903,0.5001383854114738,0.6882142444880527,0.3,0.06168231065732122,0.0364746170864365,8,193,5,4
week7-m5-f100-seed17,M5,100,17,Finland,4000,0.38202260181638936,0.3409714149521009,0.27860221500219395,0.45096322241681264,0.30598116692422156,0.4924932743209234,0.3,0.0998716941289708,0.1083247324175044,21,1012,1,4
week7-m5-f100-seed17,M5,100,17,Portugal,4000,0.3843823236846087,0.3663981085149503,0.2566966005363836,0.36900260275990765,0.3038344720710367,0.43551630327642626,0.3,0.1307867856462836,0.10979954754732953,3,286,1,4
week7-m5-f100-seed17,M5,100,17,OOD,8000,0.383202462750499,,,,,,0.3,,,24,1298,2,4
week7-m6-f01-seed17,M6,01,17,I,3000,0.44415178683734663,0.40229820521883275,0.3758524003809628,0.5557162300102075,0.3511825739355428,0.5651659377411886,0.7,0.13086013576419325,0.1426138685087822,8,193,5,4
week7-m6-f01-seed17,M6,01,17,Finland,4000,0.3585548133689621,0.31954504897642627,0.27827687422756453,0.46740208602603023,0.24960259316855535,0.469237012987013,0.7,0.14912359953977258,0.18160972473667447,21,1012,1,4
week7-m6-f01-seed17,M6,01,17,Portugal,4000,0.34785614343007787,0.32732284648103666,0.2723882398599667,0.4127727514635444,0.244373046554162,0.3907463365500211,0.7,0.20695498880886906,0.22891750190619362,3,286,1,4
week7-m6-f01-seed17,M6,01,17,OOD,8000,0.35320547839952,,,,,,0.7,,,24,1298,2,4
week7-m6-f10-seed17,M6,10,17,I,3000,0.6127488943298731,0.5529889867689444,0.4965731699686224,0.6884021056206486,0.4922150056804363,0.6936416184971098,0.5499999999999999,0.06746094791805644,0.05592525634747568,8,193,5,4
week7-m6-f10-seed17,M6,10,17,Finland,4000,0.4534382888720576,0.4050526052448853,0.35947361573664927,0.6355460385438972,0.3512636258973506,0.6483859134262656,0.5499999999999999,0.07943379747014027,0.09937680361654473,21,1012,1,4
week7-m6-f10-seed17,M6,10,17,Portugal,4000,0.43242154794546606,0.39887754161249944,0.29921742065944196,0.45033649558096167,0.29078041472617616,0.4402304781561748,0.5499999999999999,0.12964002857782878,0.11551596333201512,3,286,1,4
week7-m6-f10-seed17,M6,10,17,OOD,8000,0.44292991840876184,,,,,,0.5499999999999999,,,24,1298,2,4
week7-m6-f100-seed17,M6,100,17,I,3000,0.6691035151007476,0.6137079800637826,0.5305030791485924,0.7355478305652118,0.5463229860936092,0.7409820243696466,0.39999999999999997,0.05190155502949962,0.02413040555158684,8,193,5,4
week7-m6-f100-seed17,M6,100,17,Finland,4000,0.45511992811171265,0.40680625351667343,0.3511667482447257,0.6435206334703822,0.3657999268142575,0.6514135683810774,0.39999999999999997,0.06777061286853565,0.06893673103336398,21,1012,1,4
week7-m6-f100-seed17,M6,100,17,Portugal,4000,0.44921234691656,0.42102328082764234,0.3147559972085264,0.4213212098719614,0.32995575364085716,0.4428921874350339,0.39999999999999997,0.12616257484457583,0.11311046238825799,3,286,1,4
week7-m6-f100-seed17,M6,100,17,OOD,8000,0.4521661375141363,,,,,,0.39999999999999997,,,24,1298,2,4
week5-m0-f01-seed29,M0,01,29,I,3000,0.35777607892350666,0.3187390912123018,0.3225691486829567,0.4968055849375925,0.3024886624216451,0.49425898362747184,0.75,0.15651418940112358,0.16058934551160417,8,193,5,4
week5-m0-f01-seed29,M0,01,29,Finland,4000,0.2800538069691666,0.24916993421667616,0.24381060899078077,0.3960916226173314,0.21892530575021907,0.408905159203133,0.75,0.185317164812094,0.21217828750982792,21,1012,1,4
